Station,Nisken.no,HPLCSet.no,VialName,Extraction.Date,Vol.Filtered.L,Chl.c3.Amount,Chl.ide.Amount,MgDVP.Amount,Chl.c2.Amount,Chl.c1.Amount,Peridinin.Amount,19.but.Amount,Fuco.Amount,19.Hex.like.keto.Amount,Neo.Amount,Prasino.Amount,Viola.Amount,19.Hex.Amount,DD.Amount,cis.fuco.Amount,Allo.Amount,Diato.Amount,Monad.Amount,Zeax.Amount,Lutein.Amount,8.Apo.Amount,Croco.Amount,Chl.b.Amount,Chl.C2.like.MGDG.Amount,Chl.a.like 1.Amount,DVChlaAmount,ChlAmount,Ph.tin.Amount,a.Car.Amount,b.Car.Amount
108,1,4,13,42206,4.65,0.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.044,0,0.224,0,0,2.731,5.445,0,0,0
108,2,4,14,42206,4.65,21.812,0,10.572,12.566,0,0,26.795,1.107,0,0,0,0,32.743,2.772,0,0,0,0,12.114,0,4.52,0,60.374,4.428,0,36.769,82.769,7.123,15.921,0
108,3,4,10,42206,4.65,88.248,0,39.91,47.885,0,1.842,83.836,14.507,0,2.558,0,0,137.212,8.738,0,0,0,0,44.779,0,4.423,0,212.828,14.635,0,147.293,296.294,24.777,53.699,0
108,4,4,11,42206,4.65,10.577,0,7.14,13.111,0,1.841,6.937,0.002,0,2.112,0,1.589,34.048,7.239,0,0.601,1.866,0,60.676,0,3.959,2.389,18.308,1.958,0,35.121,90.5,8.423,9.465,3.061
108,5,4,15,42206,4.65,4.388,0,4.551,8.397,0,1.278,2.299,0,0,0,0,1.244,19.62,7.549,0,0,0,0,53.563,0,4.46,1.821,3.872,1.18,0,17.162,61.178,3.611,6.018,3.372
108,6,4,12,42206,4.65,2.236,0,3.234,5.589,0,0.832,0,0,0,0,0,1.342,12.217,8.103,0,0,2.827,0,47.788,0,4.39,0,0,0,0,14.785,43.58,4.286,5.393,2.927
108,7,4,16,42206,4.65,1.721,0,2.734,4.236,0,0,0,0,0,0,0,1.278,9.171,8.654,0,0,4.079,0,44.312,0,4.096,1.26,1.278,0,0,13.319,33.794,0,4.49,2.308
110,1,1,6,42199,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.816,0,3.919,0,0,0,0,0,2.651,0,0,0
110,2,1,7,42199,4.65,70.544,0,29.295,50.859,0,1.517,95.761,7.412,0,1.873,3.069,0,130.201,9.843,0,1.19,10.347,0,80.332,2.47,4.873,1.634,169.846,7.563,13.092,176.366,290.606,23.004,48.037,0
110,3,1,3,42199,4.65,13.957,0,7.799,16.561,0,1.132,14.757,0.996,0,1.557,0,0,48.903,6.784,0,1.109,3.058,0,84.084,0,4.28,3.998,27.057,0,2.856,85.783,111.234,11.202,4.856,10.531
110,4,1,8,42199,4.65,6.86,0,0,8.89,0,0.929,3.065,0,0,0,0,1.257,20.267,5.695,0,0,0,0,30.491,0,4.123,1.36,3.825,0,1.46,9.907,54.41,4.663,4.35,2.658
110,5,1,4,42199,4.65,4.06,0,0,5.441,0,0,0.713,0,0,0,0,1.162,14.033,6.268,0,0,0,0,18.032,2.191,4.405,0,1.894,0,0,4.504,41.013,3.802,3.227,2.377
110,6,1,9,42199,4.35,1.868,0,0,4.773,0,0,0,0,0,0,0,1.271,10.373,7.39,0,0,2.209,0,25.886,0,4.638,0,1.685,0,0,7.385,36.108,0,3.738,2.659
110,7,1,5,42199,4.65,1.542,0,0,4.515,0,0,0.146,0,0,0,0,1.555,9.743,9.328,0,0,3.426,0,45.026,0,4.806,0,2.075,0,0,12.338,39.028,3.789,4.08,4.001
111,1,1,13,42199,4.65,4.22,0,0,2.92,0,0,0.913,0,0,0,0,0,5.09,0,0,0,0,0,5.058,0,4.272,0,3.506,0,1.524,4.309,14.645,0,3.759,0
111,2,1,14,42199,4.65,51.711,0,28.758,28.277,0,1.079,57.503,1.487,0,1.969,3.178,0,76.521,6.584,0,0,6.746,0,46.51,3.326,4.136,1.517,188.089,4.255,0,21.502,239.194,13.324,5.6,31.316
111,3,1,15,42199,4.65,10.577,0,0,11.892,0,1.311,8.477,0.051,0,1.316,0,1.285,31.884,4.763,0,0,0,0,41.35,0,4.446,2.026,8.529,0,1.799,23.42,78.357,6.479,6.923,2.668
111,4,1,16,42199,4.65,6.301,0,0,8.412,0,0.993,3.063,0,0,0,0,1.181,17.779,4.149,0,0,0,0,27.595,0,4.266,1.394,3.974,0,1.356,9.956,53.653,4.623,4.407,2.522
111,5,1,10,42199,4.65,3.344,0,0,7.46,0,0.981,1.315,0,0,0,0,1.214,14.749,5.089,0,0,0,0,32.641,0,4.528,1.312,2.938,0,0,9.195,46.573,4.48,4.511,2.67
111,6,1,11,42199,4.65,2.439,0,0,5.831,0,0,0,0,0,0,0,1.284,10.506,5.619,0,0,0,0,22.301,0,4.328,0,2.088,0,0,6.728,41.5,0,3.842,2.86
111,7,1,12,42199,4.65,1.923,0,0,6.002,0,0,0.248,0,0,0,0,1.458,10.777,7.151,0,0,0,0,30.761,0,4.27,0,2.726,0,0,9.269,65.669,6.653,3.916,4.462
112,1,1,22,42199,4.65,7.829,0,0,2.397,0,0,1.215,0,0,0,0,0,4.346,0,0,0,0,0,7.202,0,3.414,0,0,0,1.68,0,13.804,5.207,0,0
112,2,1,23,42199,4.65,43.541,0,24.168,24.924,0,1.371,47.097,1.275,0,1.221,0,0,69.315,4.895,0,0,5.885,0,25.683,1.861,3.349,0,131.929,3.164,8.002,90.102,140.379,15.274,30.326,0
112,3,1,19,42199,4.65,15.381,0,0,15.406,0,1.766,11.679,0,0,1.524,0,1.356,44.126,5.689,0,0,0,0,26.516,2.575,4.205,1.454,8.795,2.213,1.564,12.974,96.476,6.53,5.248,2.863
112,4,1,17,42199,4.65,5.235,0,0,8.994,0,1.212,4.048,0,0,0,0,1.288,20.253,4.708,0,0,0,0,16.159,0,4.08,0,4.738,0,1.469,5.379,59.706,4.452,3.723,2.905
112,5,1,20,42199,4.65,3.282,0,0,7.636,0,0.958,1.833,0,0,0,0,1.178,14.667,5.287,0,0,0,0,17.107,1.999,4.384,0,2.071,0,0,4.571,51.735,4.008,3.579,3.014
112,6,1,18,42199,4.65,1.997,0,0,5.632,0,0.82,0,0,0,0,0,1.28,12.277,6.068,0,0,0,0,10.57,0,4.287,0,1.19,0,0,3.174,43.427,3.819,0,3.112
112,7,1,21,42199,4.65,1.569,0,0,5.616,0,0,0,0,0,0,0,1.2,7.394,5.221,0,0,0,0,39.104,1.745,4.417,0,2.22,0,0,15.207,42.527,4.099,4.796,4.062
113,1,3,15,42201,4.65,1.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.255,0,0,0,0,0,7.9,5.174,0,0
113,2,3,16,42201,4.65,28.887,0,10.804,14.76,0,1.103,26.093,1.954,0,0,0,0,55.355,4.025,0,0.776,3.425,0,17.022,0,3.787,10.374,0,0,16.656,35.016,110.616,9.39,10.434,1.954
113,3,3,17,42201,4.65,20.057,0,6.341,17.151,0,1.641,15.978,2.249,0,2.124,0,1.567,52.539,6.606,0,0,3.43,0,33.584,0,4.711,1.925,13.639,0,3.18,21.807,113.728,7.701,7.094,3.283
113,4,3,12,42201,4.65,8.312,0,3.644,9.783,0,1.321,5.508,0,0,0,0,1.218,26.267,5.033,0,0,0,0,14.029,0,4.693,0,4.417,0,3.028,5.698,67.521,5.363,3.792,3.015
113,5,3,18,42201,4.65,5.063,0,0,8.99,0,0.877,2.468,0,0,0,0,1.311,20.573,5.647,0,0,0,0,14.129,0,5.115,2.094,2.879,0,2.313,4.533,56.489,4.375,3.5,2.872
113,6,3,13,42201,4.65,2.657,0,3.981,5.822,0,0,0.214,0,0,0,0,1.265,12.32,6.289,0,0,2.164,0,41.293,0,4.578,2.359,2.944,0,0,18.849,49.747,4.494,5.677,4.017
113,7,3,14,42201,4.65,2.433,0,0,6.195,0,0,0.213,0,0,0,0,1.264,12.583,6.535,0,0,2.496,0,44.21,0,4.895,2.064,2.761,0,0,19.636,41.465,5.13,5.866,2.885
114,1,4,8,42206,4.65,15.829,0,5.705,8.685,0,0,15.442,0,0,0,0,0,20.859,1.821,0,0,0,0,7.223,0,4.016,0,20.864,2.716,0,14.213,46.885,5.279,7.655,0
